driver_actions-safe_drive/1 9 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/6 19 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/8 28 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/2 40 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/2 46 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-hair_and_makeup/1 264 15 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/3 45 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/7 25 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/3 66 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/1 32 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/4 11 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/1 361 5 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/1 589 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/1 595 8 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/1 564 3 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/2 243 8 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/7 252 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/2 238 3 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/9 864 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-phonecall_right/1 979 10 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/2 1083 5 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/9 16 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/6 143 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/10 64 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/4 54 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/10 37 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/11 35 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/5 48 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/12 41 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/12 27 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/14 10 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/13 16 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/13 32 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/15 59 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/16 66 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/15 23 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/17 10 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/6 71 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/14 67 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/16 44 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/18 19 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/3 344 3 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/11 372 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/19 23 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/17 61 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/3 346 8 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/18 43 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/7 43 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/3 612 5 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-texting_right/1 485 9 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/4 392 3 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/19 434 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/4 397 8 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/7 45 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/20 24 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/8 42 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/20 163 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/21 17 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/9 106 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/10 73 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/22 15 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/12 30 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/23 26 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/11 216 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/8 47 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/13 80 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/25 22 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/23 53 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/26 57 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/14 39 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-hair_and_makeup/2 20 15 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/5 36 8 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/21 543 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/24 21 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/6 312 8 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/25 36 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/27 3 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/9 68 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/26 42 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/22 553 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/24 403 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/5 372 3 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-texting_right/2 465 9 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-phonecall_right/2 1356 10 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/5 602 5 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/28 16 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/29 6 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/30 8 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/28 62 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/29 63 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/32 18 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/31 40 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/31 16 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/30 68 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/32 15 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/10 71 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/34 28 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/11 74 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/33 20 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/35 19 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/34 11 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/35 40 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/36 34 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/36 61 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/37 34 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/38 33 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/39 29 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/6 360 3 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/33 387 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/37 48 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/39 22 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/38 18 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/40 33 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/40 119 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/7 357 8 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-hair_and_makeup/3 452 15 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_left/6 591 5 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-hair_and_makeup/4 31 15 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/41 16 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/1 35 17 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/15 14 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/13 39 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/42 53 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/42 23 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/16 33 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/41 399 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/19 11 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/8 397 8 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/17 85 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/7 396 3 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/18 186 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/22 65 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/21 76 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/23 96 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/43 26 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/20 200 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/14 101 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/45 25 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/44 16 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/24 123 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/44 26 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/15 38 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/9 339 8 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/45 370 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/8 340 3 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_right/2 462 4 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/43 1804 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_right/1 1976 4 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-phonecall_left/1 1801 12 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/46 41 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/2 23 17 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/47 64 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/48 16 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/47 68 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/50 14 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/50 42 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-texting_left/1 316 11 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/52 14 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/49 36 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/49 6 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/51 19 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/48 45 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/51 15 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/16 82 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/3 31 17 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/52 393 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/17 53 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/29 64 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/25 14 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/9 382 3 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/53 15 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/10 379 8 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/30 76 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/27 27 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/26 76 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/31 77 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/28 94 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/53 601 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/54 1152 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-phonecall_left/2 1710 12 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_right/3 1856 4 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
talking-talking/33 32 2 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/54 47 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/18 64 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/55 27 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-unclassified/4 43 17 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/56 34 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/58 82 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/59 52 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-safe_drive/11 358 8 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/60 21 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-both/10 363 3 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/62 10 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/61 23 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/56 52 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/58 23 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/19 43 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/57 41 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-texting_left/2 350 11 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
hands_using_wheel-only_right/4 495 4 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/57 57 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/60 263 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/20 63 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/59 80 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-looking_road/55 387 0 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/61 24 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
driver_actions-reach_side/21 51 14 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
gaze_on_road-not_looking_road/62 65 1 {'age': 20, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Once a week or less'}
